timestamp,bpm,rr_ms,spo2,sleep_stage,steps
2025-11-18 00:00:00.000000,67,913,97.0,0.0,0.0
2025-11-18 00:01:00.000000,62,950,98.0,0.0,0.0
2025-11-18 00:02:00.000000,71,845,98.0,0.0,0.0
2025-11-18 00:03:00.000000,66,905,98.0,0.0,0.0
2025-11-18 00:04:00.000000,70,834,97.0,0.0,0.0
2025-11-18 00:05:00.000000,63,941,97.0,0.0,0.0
2025-11-18 00:06:00.000000,56,1035,97.0,0.0,0.0
2025-11-18 00:07:00.000000,78,794,95.0,0.0,0.0
2025-11-18 00:08:00.000000,61,1005,96.0,0.0,0.0
2025-11-18 00:09:00.000000,63,931,96.0,0.0,0.0
2025-11-18 00:10:00.000000,69,870,98.0,0.0,0.0
2025-11-18 00:11:00.000000,87,670,99.0,0.0,0.0
2025-11-18 00:12:00.000000,64,907,99.0,0.0,0.0
2025-11-18 00:13:00.000000,61,1008,99.0,0.0,0.0
2025-11-18 00:14:00.000000,67,895,99.0,0.0,0.0
2025-11-18 00:15:00.000000,55,1069,97.0,0.0,0.0
2025-11-18 00:16:00.000000,65,943,99.0,0.0,0.0
2025-11-18 00:17:00.000000,74,766,95.0,0.0,0.0
2025-11-18 00:18:00.000000,69,877,98.0,0.0,0.0
2025-11-18 00:19:00.000000,91,696,99.0,0.0,0.0
2025-11-18 00:20:00.000000,67,886,96.0,0.0,0.0
2025-11-18 00:21:00.000000,77,756,96.0,0.0,0.0
2025-11-18 00:22:00.000000,69,857,98.0,0.0,0.0
2025-11-18 00:23:00.000000,72,866,98.0,0.0,0.0
2025-11-18 00:24:00.000000,71,874,95.0,0.0,0.0
2025-11-18 00:25:00.000000,57,1068,99.0,0.0,0.0
2025-11-18 00:26:00.000000,59,1011,98.0,0.0,0.0
2025-11-18 00:27:00.000000,67,896,95.0,0.0,0.0
2025-11-18 00:28:00.000000,75,780,96.0,0.0,0.0
2025-11-18 00:29:00.000000,77,758,96.0,0.0,0.0
2025-11-18 00:30:00.000000,65,891,96.0,0.0,0.0
2025-11-18 00:31:00.000000,83,732,97.0,0.0,0.0
2025-11-18 00:32:00.000000,80,737,97.0,0.0,0.0
2025-11-18 00:33:00.000000,70,833,95.0,0.0,0.0
2025-11-18 00:34:00.000000,49,1235,98.0,0.0,0.0
2025-11-18 00:35:00.000000,59,1015,96.0,0.0,0.0
2025-11-18 00:36:00.000000,85,680,99.0,0.0,0.0
2025-11-18 00:37:00.000000,56,1075,97.0,0.0,0.0
2025-11-18 00:38:00.000000,60,1010,98.0,0.0,0.0
